Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SVpct,GAA,SO,GPS,MIN,QS,QSpct,RBS,GApct,GSAA,G,A,PTS,PIM,Season
Ron Scott, 23, NYR, 9, , 2, 3, 3, 29, 253, 224, .885, 3.60, 0, 1.6, 483, , , , , , 0, 0, 0, 0,1983-84
Richard Sevigny, 26, MTL, 40, , 16, 18, 2, 124, 943, 819, .869, 3.39, 1, 4.7, 2196, , , , 104, -4.44, 0, 0, 0, 12,1983-84
Billy Smith*, 33, NYI, 42, , 23, 13, 2, 130, 1253, 1123, .896, 3.43, 2, 8.8, 2276, , , , 82, 28.86, 0, 2, 2, 23,1983-84
Doug Soetaert, 28, WIN, 47, , 18, 15, 7, 181, 1378, 1197, .869, 4.29, 0, 6.9, 2531, , , , 104, -6.29, 0, 3, 3, 14,1983-84
Rick St. Croix, 29, TOR, 20, , 5, 10, 0, 80, 529, 449, .849, 5.13, 0, 1.9, 936, , , , 119, -12.93, 0, 0, 0, 0,1983-84
Ed Staniowski, 28, TOT, 19, , 6, 9, 1, 82, 581, 499, .859, 4.56, 0, 2.5, 1079, , , , 111, -8.34, 0, 1, 1, 2,1983-84
Ed Staniowski, 28, HAR, 18, , 6, 9, 1, 74, 561, 487, .868, 4.27, 0, 2.8, 1039, , , , 104, -2.88, 0, , , 2,1983-84
Ed Staniowski, 28, WIN, 1, , 0, 0, 0, 8, 20, 12, .600, 12.00, 0, -0.3, 40, , , , , , 0, , , 0,1983-84
Greg Stefan, 22, DET, 50, , 19, 22, 2, 152, 1218, 1066, .875, 3.52, 2, 6.7, 2590, , , , 98, 2.42, 0, 3, 3, 14,1983-84
Vincent Tremblay, 24, PIT, 4, , 0, 4, 0, 24, 141, 117, .830, 6.02, 0, 0.3, 239, , , , , , 0, 0, 0, 2,1983-84
John Vanbiesbrouck, 20, NYR, 3, , 2, 1, 0, 10, 84, 74, .881, 3.35, 0, 0.5, 179, , , , , , 0, 0, 0, 2,1983-84
Mike Veisor, 31, TOT, 12, , 5, 4, 2, 46, 286, 240, .839, 4.19, 0, 0.8, 659, , , , , , 0, 0, 0, 0,1983-84
Mike Veisor, 31, WIN, 8, , 4, 1, 2, 26, 172, 146, .849, 3.72, 0, 0.6, 419, , , , , , 0, , , 0,1983-84
Mike Veisor, 31, HAR, 4, , 1, 3, 0, 20, 114, 94, .825, 5.00, 0, 0.2, 240, , , , , , 0, , , 0,1983-84
Mike Vernon, 20, CGY, 1, , 0, 1, 0, 4, 6, 2, .333, 21.88, 0, -0.2, 11, , , , , , 0, 0, 0, 0,1983-84
Rick Wamsley, 24, MTL, 42, , 19, 17, 3, 144, 977, 833, .853, 3.71, 2, 3.8, 2326, , , , 116, -20.13, 0, 3, 3, 6,1983-84
Steve Weeks, 25, NYR, 26, , 10, 11, 2, 90, 663, 573, .864, 3.98, 0, 3.1, 1358, , , , 107, -5.94, 0, 0, 0, 4,1983-84
Ken Wregget, 19, TOR, 3, , 1, 1, 1, 14, 128, 114, .891, 5.09, 0, 0.8, 165, , , , , , 0, 0, 0, 0,1983-84
Steve Baker, 25, NYR, 3, , 0, 1, 0, 5, 42, 37, .881, 2.98, 0, 0.4, 101, , , , , , 0, 0, 0, 0,1982-83
Murray Bannerman, 25, CBH, 41, , 24, 12, 5, 127, 1281, 1154, .901, 3.10, 4, 8.8, 2457, , , , 80, 32.58, 0, 1, 1, 2,1982-83
Marco Baron, 23, BOS, 9, , 6, 3, 0, 33, 232, 199, .858, 3.85, 0, 1.4, 514, , , , , , 0, 0, 0, 4,1982-83
Don Beaupre, 21, MNS, 36, , 19, 10, 5, 120, 1046, 926, .885, 3.58, 0, 6.0, 2009, , , , 92, 10.30, 0, 2, 2, 10,1982-83
Tim Bernhardt, 25, CGY, 6, , 0, 5, 0, 21, 147, 126, .857, 4.50, 0, 0.5, 280, , , , , , 0, 0, 0, 0,1982-83
Mike Blake, 26, LAK, 9, , 4, 4, 0, 30, 210, 180, .857, 4.18, 0, 1.0, 431, , , , , , 0, 0, 0, 0,1982-83
Dan Bouchard, 32, QUE, 50, , 20, 21, 8, 197, 1578, 1381, .875, 4.01, 1, 7.3, 2945, , , , 100, -0.42, 0, 4, 4, 8,1982-83
Richard Brodeur, 30, VAN, 58, , 21, 26, 8, 208, 1634, 1426, .873, 3.80, 0, 9.0, 3283, , , , 102, -4.45, 0, 1, 1, 2,1982-83
Frank Caprice, 20, VAN, 1, , 0, 0, 0, 3, 8, 5, .625, 9.52, 0, -0.1, 19, , , , , , 0, 0, 0, 0,1982-83
Jacques Cloutier, 23, BUF, 25, , 10, 7, 6, 81, 572, 491, .858, 3.50, 0, 4.3, 1387, , , , 114, -9.74, 0, 0, 0, 0,1982-83
John Davidson, 29, NYR, 2, , 1, 1, 0, 5, 55, 50, .909, 2.50, 0, 0.5, 120, , , , , , 0, 0, 0, 0,1982-83
Michel Dion, 28, PIT, 49, , 12, 30, 4, 198, 1503, 1305, .868, 4.27, 0, 6.0, 2780, , , , 106, -10.77, 0, 2, 2, 8,1982-83
Don Edwards, 27, CGY, 39, , 16, 15, 6, 148, 1254, 1106, .882, 4.02, 1, 5.4, 2208, , , , 95, 8.21, 0, 2, 2, 0,1982-83
Ken Ellacott, 23, VAN, 12, , 2, 3, 4, 41, 309, 268, .867, 4.47, 0, 1.1, 551, , , , , , 0, 0, 0, 0,1982-83
Tony Esposito*, 39, CBH, 39, , 23, 11, 5, 135, 1199, 1064, .887, 3.47, 1, 7.4, 2337, , , , 90, 14.36, 0, 0, 0, 0,1982-83
Bob Froese, 24, PHI, 25, , 17, 4, 2, 59, 569, 510, .896, 2.52, 4, 6.1, 1405, , , , 83, 11.88, 0, 2, 2, 2,1982-83
Grant Fuhr*, 20, EDM, 32, , 13, 12, 5, 129, 971, 842, .867, 4.30, 0, 3.8, 1799, , , , 107, -8.04, 0, 0, 0, 6,1982-83
John Garrett, 31, TOT, 34, , 13, 14, 5, 112, 1008, 896, .889, 3.57, 1, 5.7, 1885, , , , 89, 13.57, 0, 2, 2, 2,1982-83
John Garrett, 31, QUE, 17, , 6, 8, 2, 64, 504, 440, .873, 4.04, 0, 2.3, 952, , , , 102, -1.22, 0, , , 2,1982-83
John Garrett, 31, VAN, 17, , 7, 6, 3, 48, 504, 456, .905, 3.09, 1, 3.4, 933, , , , 76, 14.78, 0, , , 0,1982-83
Gilles Gilbert, 33, DET, 20, , 4, 14, 1, 85, 565, 480, .850, 4.49, 0, 2.1, 1136, , , , 121, -14.62, 0, 3, 3, 4,1982-83
Glen Hanlon, 25, TOT, 35, , 12, 18, 2, 117, 1046, 929, .888, 3.82, 0, 5.0, 1838, , , , 90, 13.30, 0, 0, 0, 2,1982-83
Glen Hanlon, 25, NYR, 21, , 9, 10, 1, 67, 634, 567, .894, 3.45, 0, 3.7, 1167, , , , 85, 11.98, 0, , , 2,1982-83
Glen Hanlon, 25, STL, 14, , 3, 8, 1, 50, 412, 362, .879, 4.47, 0, 1.3, 671, , , , 97, 1.32, 0, , , 0,1982-83
Brian Hayward, 22, WIN, 24, , 10, 12, 2, 89, 786, 697, .887, 3.73, 1, 4.1, 1433, , , , 91, 8.91, 0, 1, 1, 0,1982-83
Rick Heinz, 27, STL, 9, , 1, 5, 1, 24, 160, 136, .850, 4.33, 1, 0.7, 332, , , , , , 0, 0, 0, 2,1982-83
Denis Herron, 30, PIT, 31, , 5, 18, 5, 151, 930, 779, .838, 5.31, 1, 1.5, 1705, , , , 130, -35.15, 0, 1, 1, 14,1982-83
Mark Holden, 25, MTL, 2, , 0, 1, 1, 6, 42, 36, .857, 4.12, 0, 0.2, 87, , , , , , 0, 0, 0, 0,1982-83
Al Jensen, 24, WSH, 40, , 22, 12, 6, 135, 1144, 1009, .882, 3.44, 1, 7.5, 2354, , , , 95, 7.51, 0, 0, 0, 6,1982-83
Doug Keans, 25, LAK, 6, , 0, 2, 2, 24, 138, 114, .826, 4.73, 0, 0.5, 304, , , , , , 0, 1, 1, 0,1982-83
Michel Larocque, 30, TOT, 18, , 3, 9, 4, 76, 510, 434, .851, 4.78, 0, 1.5, 954, , , , 120, -12.47, 0, 0, 0, 0,1982-83
Michel Larocque, 30, TOR, 16, , 3, 8, 3, 68, 454, 386, .850, 4.89, 0, 1.2, 834, , , , 120, -11.44, 0, , , 0,1982-83
Michel Larocque, 30, PHI, 2, , 0, 1, 1, 8, 56, 48, .857, 4.00, 0, 0.3, 120, , , , , , 0, , , 0,1982-83
Gary Laskoski, 23, LAK, 46, , 15, 20, 4, 173, 1209, 1036, .857, 4.56, 0, 4.1, 2277, , , , 115, -22.39, 0, 1, 1, 6,1982-83
Reggie Lemelin, 28, CGY, 39, , 16, 12, 8, 133, 1196, 1063, .889, 3.61, 0, 6.6, 2210, , , , 89, 15.99, 0, 5, 5, 7,1982-83
Mario Lessard, 28, LAK, 19, , 3, 10, 2, 68, 432, 364, .843, 4.60, 1, 1.5, 886, , , , 126, -14.18, 0, 1, 1, 2,1982-83
Pelle Lindbergh, 23, PHI, 40, , 23, 13, 3, 116, 1053, 937, .890, 2.99, 3, 8.7, 2329, , , , 88, 15.18, 0, 4, 4, 0,1982-83
Mike Liut, 27, STL, 68, , 21, 27, 13, 235, 1915, 1680, .877, 3.72, 1, 10.7, 3789, , , , 99, 3.56, 0, 0, 0, 2,1982-83
Ron Low, 32, TOT, 14, , 2, 8, 1, 51, 397, 346, .872, 4.32, 0, 1.5, 708, , , , 103, -1.54, 0, 1, 1, 4,1982-83
Ron Low, 32, NJD, 11, , 2, 7, 1, 41, 343, 302, .880, 4.07, 0, 1.5, 604, , , , 96, 1.73, 0, , , 4,1982-83
Ron Low, 32, EDM, 3, , 0, 1, 0, 10, 54, 44, .815, 5.78, 0, 0.0, 104, , , , , , 0, , , 0,1982-83
Shawn MacKenzie, 20, NJD, 6, , 0, 1, 0, 15, 68, 53, .779, 6.92, 0, -0.1, 130, , , , , , 0, 0, 0, 0,1982-83
Clint Malarchuk, 21, QUE, 15, , 8, 5, 2, 71, 517, 446, .863, 4.74, 0, 1.4, 898, , , , 110, -6.60, 0, 0, 0, 0,1982-83
Markus Mattsson, 25, TOT, 21, , 6, 6, 4, 71, 523, 452, .864, 4.28, 2, 2.1, 996, , , , 109, -5.85, 0, 2, 2, 2,1982-83
Markus Mattsson, 25, LAK, 19, , 5, 5, 4, 65, 453, 388, .857, 4.35, 1, 1.8, 896, , , , 115, -8.57, 0, , , 2,1982-83
Markus Mattsson, 25, MNS, 2, , 1, 1, 0, 6, 70, 64, .914, 3.60, 1, 0.3, 100, , , , , , 0, , , 0,1982-83
Roland Melanson, 22, NYI, 44, , 24, 12, 5, 109, 1201, 1092, .909, 2.66, 1, 10.2, 2456, , , , 73, 40.61, 0, 3, 3, 22,1982-83
Gilles Meloche, 32, MNS, 47, , 20, 13, 11, 160, 1409, 1249, .886, 3.57, 1, 8.1, 2687, , , , 91, 15.52, 0, 1, 1, 0,1982-83
Corrado Micalef, 21, DET, 34, , 11, 13, 5, 106, 761, 655, .861, 3.63, 2, 5.2, 1752, , , , 112, -11.20, 0, 1, 1, 18,1982-83
Lindsay Middlebrook, 27, TOT, 10, , 1, 6, 1, 40, 253, 213, .842, 5.10, 0, 0.5, 471, , , , , , 0, 1, 1, 2,1982-83
Lindsay Middlebrook, 27, NJD, 9, , 0, 6, 1, 37, 220, 183, .832, 5.40, 0, 0.3, 411, , , , , , 0, , , 2,1982-83
Lindsay Middlebrook, 27, EDM, 1, , 1, 0, 0, 3, 33, 30, .909, 3.00, 0, 0.2, 60, , , , , , 0, , , 0,1982-83
Greg Millen, 25, HAR, 60, , 14, 38, 6, 282, 2053, 1771, .863, 4.82, 1, 5.2, 3511, , , , 110, -26.25, 0, 2, 2, 8,1982-83
Eddie Mio, 29, NYR, 41, , 16, 18, 6, 136, 1156, 1020, .882, 3.46, 2, 7.5, 2362, , , , 94, 8.01, 0, 3, 3, 8,1982-83
Mike Moffat, 20, BOS, 12, , 4, 5, 1, 46, 252, 206, .817, 4.51, 0, 1.1, 612, , , , , , 0, 0, 0, 2,1982-83
Andy Moog, 22, EDM, 50, , 33, 8, 7, 167, 1530, 1363, .891, 3.54, 1, 8.7, 2830, , , , 88, 23.60, 0, 4, 4, 16,1982-83
Robbie Moore, 28, WSH, 1, , 0, 1, 0, 1, 7, 6, .857, 3.04, 0, 0.1, 20, , , , , , 0, 0, 0, 0,1982-83
Phil Myre, 34, BUF, 5, , 3, 2, 0, 21, 151, 130, .861, 4.21, 0, 0.7, 299, , , , , , 0, 0, 0, 2,1982-83
Mike Palmateer, 29, TOR, 53, , 21, 23, 7, 197, 1531, 1334, .871, 3.99, 0, 7.4, 2961, , , , 103, -6.28, 0, 3, 3, 17,1982-83
Bob Parent, 24, TOR, 1, , 0, 0, 0, 2, 22, 20, .909, 3.00, 0, 0.1, 40, , , , , , 0, 0, 0, 0,1982-83
Dave Parro, 25, WSH, 6, , 1, 3, 1, 19, 126, 107, .849, 4.38, 0, 0.5, 260, , , , , , 0, 0, 0, 0,1982-83
Pete Peeters, 25, BOS, 63, , 40, 12, 9, 145, 1498, 1353, .903, 2.37, 8, 16.5, 3667, , , , 78, 41.61, 0, 2, 2, 33,1982-83
Glenn Resch, 34, NJD, 65, , 15, 35, 12, 242, 1931, 1689, .875, 3.98, 0, 9.2, 3645, , , , 101, -1.45, 0, 3, 3, 6,1982-83
Nick Ricci, 23, PIT, 3, , 1, 2, 0, 16, 76, 60, .789, 6.53, 0, -0.1, 147, , , , , , 0, 0, 0, 0,1982-83
Pat Riggin, 23, WSH, 38, , 16, 9, 9, 121, 1012, 891, .880, 3.36, 0, 7.1, 2159, , , , 96, 5.07, 0, 0, 0, 4,1982-83
Roberto Romano, 20, PIT, 3, , 0, 3, 0, 18, 96, 78, .813, 6.97, 0, -0.2, 155, , , , , , 0, 0, 0, 0,1982-83
Jim Rutherford, 33, DET, 1, , 0, 1, 0, 7, 39, 32, .821, 7.00, 0, -0.1, 60, , , , , , 0, 0, 0, 0,1982-83
Bob Sauve, 27, BUF, 54, , 25, 20, 7, 179, 1390, 1211, .871, 3.46, 1, 9.8, 3106, , , , 103, -5.84, 0, 2, 2, 8,1982-83
Richard Sevigny, 25, MTL, 38, , 15, 11, 8, 122, 1041, 919, .883, 3.45, 1, 6.7, 2122, , , , 94, 7.68, 0, 1, 1, 8,1982-83
Billy Smith*, 32, NYI, 41, , 18, 14, 7, 112, 1191, 1079, .906, 2.87, 1, 9.1, 2338, , , , 75, 36.37, 0, 0, 0, 42,1982-83
Doug Soetaert, 27, WIN, 44, , 19, 19, 6, 174, 1325, 1151, .869, 4.12, 0, 5.9, 2531, , , , 105, -8.94, 0, 1, 1, 10,1982-83
Rick St. Croix, 28, TOT, 33, , 13, 14, 4, 112, 939, 827, .881, 3.63, 0, 5.5, 1853, , , , 96, 4.97, 0, 0, 0, 0,1982-83
Rick St. Croix, 28, PHI, 16, , 9, 5, 2, 54, 431, 377, .875, 3.45, 0, 3.0, 938, , , , 101, -0.31, 0, , , 0,1982-83
Rick St. Croix, 28, TOR, 17, , 4, 9, 2, 58, 508, 450, .886, 3.80, 0, 2.5, 915, , , , 92, 5.28, 0, , , 0,1982-83
Ed Staniowski, 27, WIN, 17, , 4, 8, 0, 65, 415, 350, .843, 4.73, 1, 1.3, 825, , , , 126, -13.30, 0, 1, 1, 0,1982-83
Greg Stefan, 21, DET, 35, , 6, 16, 9, 139, 944, 805, .853, 4.53, 0, 3.4, 1840, , , , 118, -21.40, 0, 0, 0, 37,1982-83
Vincent Tremblay, 23, TOR, 1, , 0, 0, 0, 2, 27, 25, .926, 3.00, 0, 0.1, 40, , , , , , 0, 0, 0, 0,1982-83
Mike Veisor, 30, HAR, 23, , 5, 16, 1, 118, 815, 697, .855, 5.56, 1, 0.7, 1274, , , , 116, -16.47, 0, 0, 0, 2,1982-83
Mike Vernon, 19, CGY, 2, , 0, 2, 0, 11, 46, 35, .761, 6.60, 0, -0.1, 100, , , , , , 0, 0, 0, 0,1982-83
Rick Wamsley, 23, MTL, 46, , 27, 12, 5, 151, 1238, 1087, .878, 3.51, 0, 8.0, 2582, , , , 98, 3.22, 0, 1, 1, 4,1982-83
Steve Weeks, 24, NYR, 18, , 9, 5, 3, 68, 491, 423, .862, 3.92, 0, 2.7, 1040, , , , 111, -6.83, 0, 2, 2, 0,1982-83
Steve Baker, 24, NYR, 6, , 1, 5, 0, 33, 161, 128, .795, 6.03, 0, 0.1, 328, , , , , , 0, 0, 0, 0,1981-82
Murray Bannerman, 24, CBH, 29, , 11, 12, 4, 116, 871, 755, .867, 4.18, 1, 4.1, 1667, , , , 105, -5.30, 0, 1, 1, 0,1981-82
Marco Baron, 22, BOS, 44, , 22, 16, 4, 144, 1068, 924, .865, 3.43, 1, 8.4, 2516, , , , 106, -8.27, 0, 2, 2, 35,1981-82
Don Beaupre, 20, MNS, 28, , 11, 8, 9, 101, 906, 805, .889, 3.71, 0, 4.9, 1632, , , , 88, 14.15, 0, 0, 0, 4,1981-82
Mike Blake, 25, LAK, 2, , 0, 0, 0, 2, 32, 30, .938, 2.35, 0, 0.2, 51, , , , , , 0, 0, 0, 0,1981-82
Dan Bouchard, 31, QUE, 60, , 27, 22, 11, 230, 1723, 1493, .867, 3.87, 1, 10.1, 3568, , , , 105, -11.02, 0, 3, 3, 36,1981-82
Richard Brodeur, 29, VAN, 52, , 20, 18, 12, 168, 1575, 1407, .893, 3.36, 2, 10.3, 3002, , , , 84, 32.17, 0, 2, 2, 0,1981-82
Jacques Cloutier, 22, BUF, 7, , 5, 1, 0, 13, 155, 142, .916, 2.52, 0, 1.4, 310, , , , , , 0, 0, 0, 0,1981-82
John Davidson, 28, NYR, 1, , 1, 0, 0, 1, 29, 28, .966, 1.00, 0, 0.4, 60, , , , , , 0, 0, 0, 2,1981-82
Michel Dion, 27, PIT, 62, , 25, 24, 12, 226, 1853, 1627, .878, 3.80, 0, 10.4, 3572, , , , 96, 9.50, 0, 1, 1, 4,1981-82
Don Edwards, 26, BUF, 62, , 26, 23, 9, 205, 1740, 1535, .882, 3.52, 0, 11.3, 3492, , , , 93, 16.14, 0, 2, 2, 2,1981-82
Gary Edwards, 34, TOT, 16, , 4, 7, 2, 67, 442, 375, .848, 4.79, 1, 1.5, 839, , , , 119, -10.83, 0, 1, 1, 2,1981-82
Gary Edwards, 34, STL, 10, , 1, 5, 1, 45, 249, 204, .819, 5.63, 0, 0.4, 480, , , , , , 0, , , 0,1981-82
Gary Edwards, 34, PIT, 6, , 3, 2, 1, 22, 193, 171, .886, 3.68, 1, 1.1, 359, , , , , , 0, , , 2,1981-82
Tony Esposito*, 38, CBH, 52, , 19, 25, 8, 231, 1746, 1515, .868, 4.53, 1, 6.3, 3058, , , , 104, -9.10, 0, 2, 2, 0,1981-82
Grant Fuhr*, 19, EDM, 48, , 28, 5, 14, 157, 1537, 1380, .898, 3.31, 0, 9.9, 2842, , , , 80, 38.34, 0, 6, 6, 6,1981-82
John Garrett, 30, TOT, 28, , 9, 11, 7, 125, 859, 734, .854, 4.64, 0, 3.1, 1616, , , , 114, -15.83, 0, 1, 1, 2,1981-82
John Garrett, 30, HAR, 16, , 5, 6, 4, 63, 479, 416, .868, 4.21, 0, 2.2, 897, , , , 103, -2.12, 0, , , 2,1981-82
John Garrett, 30, QUE, 12, , 4, 5, 3, 62, 380, 318, .837, 5.17, 0, 0.9, 719, , , , 128, -13.71, 0, , , 0,1981-82
Gilles Gilbert, 32, DET, 27, , 6, 10, 6, 105, 693, 588, .848, 4.27, 0, 3.5, 1476, , , , 119, -16.93, 0, 0, 0, 2,1981-82
Glen Hanlon, 24, TOT, 30, , 8, 15, 5, 114, 809, 695, .859, 4.07, 1, 4.4, 1680, , , , 111, -11.18, 0, 0, 0, 22,1981-82
Glen Hanlon, 24, VAN, 28, , 8, 14, 5, 106, 768, 662, .862, 3.96, 1, 4.4, 1604, , , , 109, -8.39, 0, , , 22,1981-82
Glen Hanlon, 24, STL, 2, , 0, 1, 0, 8, 41, 33, .805, 6.33, 0, 0.0, 76, , , , , , 0, , , 0,1981-82
Paul Harrison, 26, TOT, 19, , 5, 8, 1, 78, 444, 366, .824, 5.05, 0, 1.3, 927, , , , 138, -21.57, 0, 0, 0, 2,1981-82
Paul Harrison, 26, PIT, 13, , 3, 7, 0, 64, 354, 290, .819, 5.51, 0, 0.6, 697, , , , 142, -19.01, 0, , , 0,1981-82
Paul Harrison, 26, BUF, 6, , 2, 1, 1, 14, 90, 76, .844, 3.67, 0, 0.7, 229, , , , , , 0, , , 2,1981-82
Rick Heinz, 26, TOT, 12, , 4, 6, 0, 44, 282, 238, .844, 4.32, 1, 1.4, 611, , , , , , 0, 0, 0, 0,1981-82
Rick Heinz, 26, STL, 9, , 2, 5, 0, 35, 205, 170, .829, 4.87, 0, 0.7, 431, , , , , , 0, , , 0,1981-82
Rick Heinz, 26, VAN, 3, , 2, 1, 0, 9, 77, 68, .883, 3.00, 1, 0.7, 180, , , , , , 0, , , 0,1981-82
Denis Herron, 29, MTL, 27, , 12, 6, 8, 68, 760, 692, .911, 2.64, 3, 6.6, 1545, , , , 70, 28.59, 0, 0, 0, 4,1981-82
Mark Holden, 24, MTL, 1, , 0, 0, 0, 0, 4, 4, 1.000, 0.00, 0, 0.1, 20, , , , , , 0, 0, 0, 0,1981-82
Steve Janaszak, 25, CLR, 2, , 0, 1, 0, 13, 91, 78, .857, 7.80, 0, -0.2, 100, , , , , , 0, 0, 0, 0,1981-82
Al Jensen, 23, WSH, 26, , 8, 8, 4, 81, 705, 624, .885, 3.82, 0, 3.7, 1271, , , , 90, 8.60, 0, 2, 2, 6,1981-82
Doug Keans, 24, LAK, 31, , 8, 10, 7, 103, 760, 657, .864, 4.32, 0, 3.3, 1431, , , , 107, -6.41, 0, 0, 0, 0,1981-82
Rick LaFerriere, 21, CLR, 1, , 0, 0, 0, 1, 19, 18, .947, 3.00, 0, 0.1, 20, , , , , , 0, 0, 0, 0,1981-82
Michel Larocque, 29, TOR, 50, , 10, 24, 8, 207, 1505, 1298, .862, 4.70, 0, 4.9, 2643, , , , 108, -15.73, 0, 3, 3, 2,1981-82
Claude Legris, 25, DET, 1, , 0, 0, 1, 0, 18, 18, 1.000, 0.00, 0, 0.2, 28, , , , , , 0, 1, 1, 0,1981-82
Reggie Lemelin, 27, CGY, 34, , 10, 15, 6, 135, 1066, 931, .873, 4.32, 0, 4.3, 1874, , , , 100, 0.48, 0, 1, 1, 0,1981-82
Mario Lessard, 27, LAK, 52, , 13, 28, 8, 214, 1441, 1227, .851, 4.39, 2, 6.5, 2924, , , , 117, -30.86, 0, 2, 2, 6,1981-82
Pelle Lindbergh, 22, PHI, 8, , 2, 4, 2, 35, 290, 255, .879, 4.39, 0, 1.1, 478, , , , , , 0, 0, 0, 0,1981-82
Mike Liut, 26, STL, 64, , 28, 28, 7, 250, 2030, 1780, .877, 4.07, 2, 9.6, 3685, , , , 97, 8.00, 0, 2, 2, 2,1981-82
Ron Low, 31, EDM, 29, , 17, 7, 1, 100, 795, 695, .874, 3.86, 0, 4.4, 1554, , , , 99, 1.04, 0, 0, 0, 2,1981-82
Clint Malarchuk, 20, QUE, 2, , 0, 1, 1, 14, 66, 52, .788, 7.00, 0, -0.1, 120, , , , , , 0, 0, 0, 0,1981-82
Roland Melanson, 21, NYI, 36, , 22, 7, 6, 114, 1100, 986, .896, 3.24, 0, 7.6, 2112, , , , 82, 25.80, 0, 0, 0, 14,1981-82
Gilles Meloche, 31, MNS, 51, , 26, 15, 9, 175, 1652, 1477, .894, 3.48, 1, 10.0, 3022, , , , 83, 34.96, 0, 1, 1, 6,1981-82
Corrado Micalef, 20, DET, 18, , 4, 10, 1, 63, 400, 337, .843, 4.68, 0, 1.5, 807, , , , 124, -12.16, 0, 0, 0, 9,1981-82
Lindsay Middlebrook, 26, MNS, 3, , 0, 0, 2, 7, 70, 63, .900, 3.00, 0, 0.5, 140, , , , , , 0, 0, 0, 20,1981-82
Greg Millen, 24, HAR, 55, , 11, 30, 12, 229, 1797, 1568, .873, 4.30, 0, 7.4, 3194, , , , 100, -0.62, 0, 4, 4, 2,1981-82
Eddie Mio, 28, NYR, 25, , 13, 6, 5, 89, 777, 688, .885, 3.56, 0, 4.8, 1499, , , , 90, 9.75, 0, 0, 0, 4,1981-82
Mike Moffat, 19, BOS, 2, , 2, 0, 0, 6, 51, 45, .882, 3.00, 0, 0.5, 120, , , , , , 0, 0, 0, 0,1981-82
Andy Moog, 21, EDM, 8, , 3, 5, 0, 32, 201, 169, .841, 4.82, 0, 0.7, 398, , , , , , 0, 1, 1, 2,1981-82
Phil Myre, 33, CLR, 24, , 2, 17, 2, 112, 694, 582, .839, 5.37, 0, 1.3, 1252, , , , 127, -23.80, 0, 2, 2, 0,1981-82
Mike Palmateer, 28, WSH, 11, , 2, 7, 2, 47, 313, 266, .850, 4.84, 0, 1.0, 583, , , , , , 0, 1, 1, 6,1981-82
Bob Parent, 23, TOR, 2, , 0, 2, 0, 13, 75, 62, .827, 6.54, 0, 0.0, 119, , , , , , 0, 0, 0, 0,1981-82
Dave Parro, 24, WSH, 52, , 16, 26, 7, 206, 1641, 1435, .874, 4.21, 1, 7.1, 2937, , , , 99, 2.56, 0, 1, 1, 4,1981-82
Pete Peeters, 24, PHI, 44, , 23, 18, 3, 160, 1242, 1082, .871, 3.72, 0, 7.8, 2582, , , , 101, -2.15, 0, 1, 1, 19,1981-82
Michel Plasse, 33, QUE, 8, , 2, 3, 1, 35, 195, 160, .821, 5.43, 0, 0.4, 386, , , , , , 0, 1, 1, 0,1981-82
Glenn Resch, 33, CLR, 61, , 16, 31, 11, 230, 1897, 1667, .879, 4.04, 0, 9.0, 3418, , , , 95, 11.09, 0, 2, 2, 8,1981-82
Nick Ricci, 22, PIT, 3, , 0, 3, 0, 14, 89, 75, .843, 5.32, 0, 0.2, 158, , , , , , 0, 0, 0, 0,1981-82
Pat Riggin, 22, CGY, 52, , 19, 19, 11, 207, 1603, 1396, .871, 4.25, 2, 7.0, 2923, , , , 102, -3.27, 0, 5, 5, 4,1981-82
Jim Rutherford, 32, LAK, 7, , 3, 3, 0, 43, 207, 164, .792, 6.79, 0, -0.2, 380, , , , , , 0, 0, 0, 0,1981-82
Bob Sauve, 26, TOT, 55, , 17, 26, 9, 200, 1399, 1199, .857, 3.85, 0, 8.9, 3120, , , , 112, -22.20, 0, 0, 0, 2,1981-82
Bob Sauve, 26, DET, 41, , 11, 25, 4, 165, 1069, 904, .846, 4.19, 0, 5.8, 2360, , , , 121, -29.14, 0, , , 0,1981-82
Bob Sauve, 26, BUF, 14, , 6, 1, 5, 35, 330, 295, .894, 2.76, 0, 3.2, 760, , , , 83, 6.94, 0, , , 2,1981-82
Richard Sevigny, 24, MTL, 19, , 11, 4, 2, 53, 491, 438, .892, 3.10, 0, 3.8, 1026, , , , 85, 9.40, 0, 0, 0, 10,1981-82
Paul Skidmore, 25, STL, 2, , 1, 1, 0, 6, 49, 43, .878, 3.00, 0, 0.5, 120, , , , , , 0, 0, 0, 0,1981-82
Warren Skorodenski, 21, CBH, 1, , 0, 1, 0, 5, 30, 25, .833, 5.05, 0, 0.1, 59, , , , , , 0, 0, 0, 0,1981-82
Billy Smith*, 31, NYI, 46, , 32, 9, 4, 133, 1303, 1170, .898, 2.97, 0, 10.5, 2684, , , , 80, 32.60, 0, 1, 1, 24,1981-82
Doug Soetaert, 26, WIN, 39, , 13, 14, 8, 155, 1188, 1033, .870, 4.32, 2, 5.0, 2155, , , , 103, -4.01, 0, 2, 2, 14,1981-82
