Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,GAA,SO,GPS,MIN,QS,RBS,GSAA,G,A,PTS,PIM,Season,SV%,QS%,GA%
Gary Edwards,21, STL,1,0,0,0,0,0,2,2,0.0,0,0.0,4,0,0,0.0,0,0,0,0,1968-69,1.0,0.0,0
Marv Edwards,33, PIT,1,0,0,1,0,3,33,30,3.0,0,0.2,60,0,0,0.0,0,0,0,0,1968-69,0.909,0.0,0
Roy Edwards,31, DET,40,0,18,11,6,89,1044,955,2.55,4,7.1,2098,0,0,6.78,0,0,0,0,1968-69,0.915,0.0,93
Tony Esposito*,25, MTL,13,0,5,4,4,34,419,385,2.75,2,2.3,742,0,0,4.44,0,0,0,0,1968-69,0.919,0.0,88
Doug Favell,23, PHI,21,0,3,12,5,71,731,660,3.58,1,2.1,1191,0,0,-3.93,0,0,0,4,1968-69,0.903,0.0,106
Bruce Gamble,30, TOR,61,0,28,20,11,161,1877,1716,2.81,3,10.2,3439,0,0,11.21,0,0,0,2,1968-69,0.914,0.0,93
Ed Giacomin*,29, NYR,70,0,38,23,7,175,1970,1795,2.56,7,13.9,4109,0,0,5.74,0,0,0,2,1968-69,0.9109999999999999,0.0,97
Glenn Hall*,37, STL,41,0,19,12,8,85,1187,1102,2.17,8,9.4,2351,0,0,23.81,0,2,2,20,1968-69,0.9279999999999999,0.0,78
Charlie Hodge,35, OAK,14,0,3,8,2,48,391,343,3.7,0,1.2,779,0,0,-12.13,0,0,0,0,1968-69,0.877,0.0,134
Robbie Irons,22, STL,1,0,0,0,0,0,1,1,0.0,0,0.0,3,0,0,0.0,0,0,0,0,1968-69,1.0,0.0,0
Eddie Johnston,33, BOS,24,0,15,6,3,74,722,648,3.09,2,3.6,1439,0,0,-7.76,0,1,1,0,1968-69,0.898,0.0,112
Joe Junkin,22, BOS,1,0,0,0,0,0,4,4,0.0,0,0.1,9,0,0,0.0,0,0,0,0,1968-69,1.0,0.0,0
Cesare Maniago,30, MNS,64,0,18,34,10,198,2080,1882,3.29,1,8.0,3608,0,0,-7.17,0,0,0,12,1968-69,0.905,0.0,104
Jack Norris,26, CBH,3,0,1,0,0,10,64,54,6.0,0,-0.2,100,0,0,0.0,0,0,0,0,1968-69,0.8440000000000001,0.0,0
Ted Ouimet,21, STL,1,0,0,1,0,2,31,29,2.02,0,0.2,59,0,0,0.0,0,0,0,0,1968-69,0.935,0.0,0
Bernie Parent*,23, PHI,58,0,17,23,16,151,2009,1858,2.7,1,10.6,3357,0,0,33.32,0,0,0,8,1968-69,0.925,0.0,82
Jacques Plante*,40, STL,37,0,18,12,6,70,1173,1103,1.96,5,9.2,2138,0,0,37.71,0,0,0,2,1968-69,0.94,0.0,65
Fern Rivard,23, MNS,13,0,0,6,4,48,341,293,4.44,0,0.2,648,0,0,-16.71,0,0,0,0,1968-69,0.8590000000000001,0.0,153
Wayne Rutledge,27, LAK,17,0,5,11,1,57,487,430,3.71,0,1.4,921,0,0,-12.32,0,0,0,2,1968-69,0.883,0.0,128
Terry Sawchuk*,39, DET,13,0,4,5,3,28,318,290,2.63,0,2.1,640,0,0,1.18,0,0,0,0,1968-69,0.912,0.0,96
Don Simmons,37, NYR,5,0,1,2,1,8,101,93,2.34,0,0.8,205,0,0,0.0,0,0,0,0,1968-69,0.9209999999999999,0.0,0
Al Smith,23, TOR,7,0,1,2,1,16,173,157,2.9,0,0.9,331,0,0,0.0,0,0,0,7,1968-69,0.9079999999999999,0.0,0
Gary Smith,24, OAK,54,0,22,21,7,148,1559,1411,2.96,4,8.2,3000,0,0,-4.97,0,2,2,7,1968-69,0.905,0.0,103
Rogie Vachon*,23, MTL,36,0,22,9,3,98,1001,903,2.87,2,5.9,2049,0,0,-6.16,0,0,0,2,1968-69,0.902,0.0,107
Gilles Villemure,28, NYR,4,0,2,1,1,9,115,106,2.25,0,0.9,240,0,0,0.0,0,0,0,0,1968-69,0.922,0.0,0
Ernie Wakely,28, MTL,1,0,0,1,0,4,27,23,4.0,0,0.1,60,0,0,0.0,0,0,0,0,1968-69,0.852,0.0,0
Gump Worsley*,39, MTL,30,0,19,5,4,64,802,738,2.26,5,6.6,1702,0,0,9.58,0,0,0,0,1968-69,0.92,0.0,87
Chris Worthy,21, OAK,14,0,4,7,2,54,450,396,4.18,0,0.6,775,0,0,-12.71,0,0,0,2,1968-69,0.88,0.0,131
Hank Bassen,35, PIT,25,0,7,10,3,62,685,623,2.87,1,3.3,1295,0,0,-0.03,0,0,0,8,1967-68,0.909,0.0,100
Garry Bauman,27, MNS,26,0,4,13,5,75,656,581,3.48,0,1.9,1294,0,0,-15.65,0,0,0,2,1967-68,0.8859999999999999,0.0,126
Les Binkley,33, PIT,54,0,20,24,10,150,1585,1435,2.87,6,8.0,3139,0,0,-6.61,0,0,0,0,1967-68,0.905,0.0,105
